Année,Pays,Happiness_Index,Global_Rank,Subjective_Index,subjective_rank,Engagement civique,Equilibre travail-vie,Liens sociaux,Logement,Qualité environnementale,Revenu et patrimoine,Santé,Savoirs et compétences,Sécurité,Travail et qualité de l'emploi
2011,Portugal,0.39846694033402025,11.0,0.30009258433592884,14.0,0.0,,0.1424744484180729,0.19016089620252108,0.03708763820388843,0.15238088048121748,0.1604187100132832,,0.17233948318614564,0.14513794349487125
2011,Estonie,0.37879509805509587,12.0,0.6320521578856118,3.0,0.15290357277324942,,0.14505654627661185,0.21966406200697738,0.0028671286017990373,0.135376607330908,0.09307989058151933,,0.13342376236181935,0.1176284300671156
2011,République slovaque,0.36396032828493385,13.0,0.5262746440040476,7.0,,,0.16615146731222752,0.18109255964544246,7.027510513317903e-06,0.1622329016628275,0.1486270339345654,,0.1808687235914441,0.1610202863429797
2011,Grèce,0.34375394130443204,14.0,0.70833333333125,2.0,,,0.20778982535450713,0.12483775454349096,0.01965805464041927,0.1274413291022373,0.31359673356738865,,0.10210282882309452,0.1045734739688621
2011,Lettonie,0.24495512928772806,15.0,0.5829643023957289,4.0,0.06276616757203121,,0.21440902600231163,0.2645160832869132,0.008483185726143472,0.1700651531513025,0.0542653691067505,,0.10310955177616264,0.12238546337838492
2011,Lituanie,0.17402827819847191,16.0,0.836432957438094,1.0,,,0.2334760647251011,0.22621144256002368,5.32774879610663e-05,0.31467322617730914,0.0,,0.054215462105821406,0.17137052694378366
2012,Pays-Bas,0.6925130541532004,1.0,0.39583333333125004,10.0,0.11670877146183084,,0.07931704692214374,0.1483025494085237,0.038271503487760185,0.11178698096074745,0.13931603202772708,0.11966100443818418,0.14547688618156826,0.10115922511151458
2012,Finlande,0.671176981368281,2.0,0.3760741711355621,12.0,0.08285127365571535,,0.07999610097452348,0.13935007290250492,0.11036444355267444,0.10899066505196668,0.09129026909729943,0.13760226795409936,0.1406197479817779,0.10893515882943844
2012,France,0.6563293846306127,3.0,0.3328903199591384,13.0,0.1692916905947237,,0.08476943938210699,0.13296995879343676,0.01804144365814262,0.12669867251081493,0.13064176023257246,0.09333907559867294,0.11867703815074863,0.12557092107878093
2012,Allemagne,0.6414618056452398,4.0,0.4655014628992753,9.0,,0.08660773730662388,0.11504696305835187,0.15007090524661484,0.022995166810098822,0.12013175537617764,0.1246872556361233,0.11608616455297435,0.1516347335578923,0.11273931845514296
